0:18   -   https://shop.mango.com/co/mujer/destacados/rebajas_d14760544
      + 0:18:45   -   Abrigo estructurado masculino
      + 0:18:45   -   Pantalón culotte algodón lino
      + 0:18:45   -   Sobrecamisa efecto piel cinturón
      + 0:18:45   -    Camiseta hombreras algodón orgánico
      + 0:18:45   -   Cárdigan sin mangas cinturón
      + 0:18:45   -   Blusa algodón fruncida
      + 0:18:45   -   Sudadera crop algodón
      + 0:18:45   -   Mono denim algodón
      + 0:18:45   -   Top bordado algodón
      + 0:18:45   -   Chaqueta estilo kimono
      + 0:18:45   -   Top punto asimétrico
      + 0:18:45   -   Pantalón palazzo fluido
      + 0:18:45   -   Top diseño asimétrico
      + 0:18:45   -   Jeans rectos tobilleros
      + 0:18:45   -   Blusa estampado floral
      + 0:18:45   -   Vestido detalles plisados
      + 0:18:45   -   Vestido estampado paisley
      + 0:18:45   -   Vestido estampado cinturón
      + 0:18:45   -   Falda cintura elástica
      + 0:18:45   -   Pantalón pinzas algodón
      + 0:18:45   -   Cárdigan fluido oversize
      + 0:18:45   -   Cárdigan fluido oversize
      + 0:18:45   -   Jeans rectos tobilleros
      + 0:18:45   -   Blusa cuello fruncido
      + 0:18:45   -   Vestido fluido estampado
      + 0:18:45   -   Camiseta básica algodón
      + 0:18:46   -   Vestido estampado midi
      + 0:18:46   -   Vestido volante bajo
      + 0:18:46   -   Jeans Balloon tiro alto
      + 0:18:46   -   Blusa popelín bordado suizo
      + 0:18:46   -   Blusa lino botones
      + 0:18:46   -   Cárdigan punto combinado
      + 0:18:46   -   Blusa algodón plumeti
      + 0:18:46   -   Pantalón cintura elástica efecto piel
      + 0:18:46   -   Vestido estampado floral volante
      + 0:18:46   -   Vestido lino aberturas
      + 0:18:46   -   Vestido popelín bordado suizo
      + 0:18:46   -   Pantalón lino punto
      + 0:18:46   -   Bermudas cintura elástica
      + 0:18:46   -   Pantalón pinzas algodón
      + 0:18:46   -   Pantalón pinzas algodón
      + 0:18:46   -   Jersey punto calado pompones
      + 0:18:46   -   Camisa algodón oversize
      + 0:18:46   -   Cazadora crop hombreras
      + 0:18:46   -   Pantalón lino cinturón
      + 0:18:46   -   Cazadora oversize efecto piel
      + 0:18:46   -   Camiseta algodón rayas
      + 0:18:46   -   Vestido estampado oriental
      + 0:18:46   -   Body lunares 
      + 0:18:46   -   Jeans skinny push-up Kim
      + 0:18:46   -   Jeans skinny tiro alto Soho  
      + 0:18:46   -   Sandalia plataforma nudo
      + 0:18:46   -   Camisa estampada algodón
      + 0:18:46   -   Deportivas plataforma cordones
      + 0:18:46   -   Cárdigan punto fino
      + 0:18:46   -   Americana efecto piel cinturón
      + 0:18:46   -   Chaleco tweed bolsillos
      + 0:18:46   -   Blusa manga abullonada estampada
      + 0:18:46   -   Camisa algodón cuello babydoll
      + 0:18:46   -   Vestido camisero efecto piel
      + 0:18:46   -   Camiseta punto nudos
      + 0:18:46   -   Camiseta manga fruncida
      + 0:18:46   -   Vestido camisero estampado
      + 0:18:46   -   Pantalón 100% lino
      + 0:18:46   -   Pantalón palazzo cinturón
      + 0:18:46   -   Cárdigan algodón punto calado
      + 0:18:46   -   Top estampado floral
      + 0:18:46   -   Americana traje estructurada
      + 0:18:46   -   Mono cinturón estampado
      + 0:18:46   -   Pantalón culotte lyocell
      + 0:18:47   -   Top fluido volantes
      + 0:18:47   -   Vestido estampado fluido
      + 0:18:47   -   Chaleco algodón textura
